20	7	2	1	1																										
5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	10	20	30	40	50	60	70	100	100	50	200
5	2	3	6	5	9	11	2	5	2	6	8	11	5	1	11	7	5	3	14	7	5	7	18	26	44	7	34	77	39	142
4	4	4	2	2	1	5	9	2	6	9	8	16	12	19	8	5	7	23	13	10	20	24	26	37	31	5	95	76	14	144
5	5	2	2	5	6	3	12	10	13	3	16	6	13	18	10	1	8	10	4	4	10	16	19	43	2	28	62	80	19	92
2	5	4	7	6	6	9	8	10	2	4	13	11	4	3	10	10	11	22	5	9	20	11	20	39	3	50	36	6	39	96
5	1	5	1	9	10	7	5	5	12	9	16	13	9	6	17	17	10	8	19	2	7	8	26	17	21	47	30	71	21	45
5	3	7	6	9	6	11	12	7	2	14	15	5	3	1	12	6	9	4	19	10	6	7	23	30	10	29	38	13	25	167
2	5	7	4	6	5	5	8	8	13	7	10	8	17	11	5	20	20	9	11	3	10	29	29	37	19	38	68	59	33	58
4	2	3	6	7	5	4	9	8	3	10	2	13	16	14	13	1	6	12	10	5	2	10	2	6	26	60	27	4	44	160
4	4	3	4	9	10	10	12	8	9	7	8	8	2	11	7	11	21	10	10	3	6	26	11	28	4	33	46	90	6	189
5	2	5	4	2	10	11	12	10	3	4	12	17	17	6	2	13	15	6	15	1	1	5	18	44	59	37	28	10	7	98
2	2	4	2	2	9	8	3	11	5	5	4	2	13	8	3	7	8	15	20	10	19	2	30	49	7	29	12	67	47	162
1	2	4	5	2	2	2	3	8	14	8	1	8	10	9	6	3	14	4	18	2	16	5	29	45	20	43	45	96	25	32
3	1	3	7	3	6	4	3	5	12	13	1	1	5	14	3	3	16	12	24	3	14	4	1	41	34	26	51	73	2	134
4	2	4	6	1	2	3	2	5	1	10	11	10	10	2	14	18	15	21	8	7	15	28	35	46	30	43	92	13	40	41
3	6	6	7	8	2	2	10	3	6	13	9	12	10	18	12	19	11	20	6	1	7	13	20	44	45	61	61	79	27	56
4	1	4	8	1	6	1	3	5	4	7	13	6	2	2	17	3	16	13	13	10	16	15	37	1	47	55	93	45	11	87
4	2	1	5	8	5	7	12	9	11	13	10	10	17	6	2	13	20	6	10	2	4	19	8	42	30	39	51	59	23	101
3	2	2	6	5	2	2	10	7	9	7	1	5	11	13	15	12	7	12	3	1	13	13	18	39	18	47	43	15	36	32
4	4	6	6	2	3	4	9	6	14	6	5	6	16	9	11	9	10	22	24	1	11	16	18	25	11	17	33	17	28	54
2	3	4	3	3	6	1	3	5	1	14	10	8	16	1	20	10	17	9	23	1	20	29	15	23	33	25	36	41	43	22
5	1	3	2	7	9	7	8	3	1	15	13	16	11	16	19	9	17	1	1	10	9	17	38	46	27	58	29	20	5	103
3	5	4	2	1	7	8	2	1	5	9	8	17	17	11	2	16	2	13	20	9	13	1	24	29	6	30	19	80	27	137
2	3	3	6	6	3	8	11	10	4	12	12	15	5	16	16	5	4	19	4	2	1	22	22	9	44	60	76	35	43	176
4	2	2	8	3	4	5	10	10	5	5	3	12	13	12	9	2	14	9	16	8	8	15	3	45	5	8	70	72	15	20
4	2	1	8	7	2	9	12	10	7	8	10	13	15	6	5	13	2	4	22	6	16	9	39	43	31	59	75	37	38	177
2	2	5	1	8	8	5	10	4	11	2	14	10	10	17	10	12	19	19	22	10	9	9	29	14	56	32	31	37	40	57
3	5	2	2	5	4	7	7	10	12	10	6	2	4	18	16	2	4	1	11	9	8	13	11	31	53	39	19	73	22	17
4	2	1	4	3	9	8	12	1	13	4	3	15	9	8	10	19	5	6	24	9	18	23	27	31	49	66	60	6	36	11
5	6	3	8	5	2	5	8	8	2	9	16	15	2	5	3	12	6	3	17	3	9	1	28	38	3	13	93	4	1	104
1	6	6	2	6	3	7	11	5	3	5	14	6	4	3	2	19	7	12	7	7	7	21	29	46	29	15	100	15	24	14
2	2	3	7	2	9	7	6	3	1	2	8	3	6	9	18	2	19	9	5	4	10	17	12	28	7	43	100	93	23	59
2	6	1	6	8	5	9	3	6	10	7	8	13	16	10	1	16	3	7	20	2	8	20	24	34	30	28	56	94	36	26
3	6	4	7	7	3	5	3	3	3	1	16	2	1	6	10	18	12	23	20	9	4	24	1	42	16	3	60	66	36	148
3	6	2	3	6	4	2	8	5	7	10	7	1	5	18	12	20	6	21	7	4	9	11	39	17	57	9	87	73	6	185
2	6	4	2	2	6	11	2	3	13	3	7	1	14	19	16	17	20	9	2	8	5	18	19	10	2	38	59	36	14	63
3	3	1	3	7	5	6	10	6	13	9	7	2	11	19	18	14	17	21	2	5	12	14	15	48	11	59	65	61	44	76
1	2	4	5	6	10	9	2	1	4	4	2	2	1	17	17	8	6	18	3	1	13	11	5	33	19	6	73	95	6	168
